x,y,z,w0,w1,w2,w3
-2.08061,32.767,0,0,0,0.707107,0.707107
-2.08061,32.7781,-2.63198e-17,-0,-0,-0.00396856,0.999992
-1.98041,32.7723,-3.06672,-0,-0,-0.0791965,0.996859
-1.91849,32.7559,4.25644e-22,0,0,6.38973e-07,1
-1.81849,32.7559,-3.97616e-05,-0,-0,-3.55069e-07,1
-1.76537,32.7559,-5.0182e-19,-0,-0,-0.0605418,0.998166
-1.66585,32.7457,1.16211,-0,-0,-0.0316088,0.9995
-1.5659,32.7446,0.115882,0,0,0.00999418,0.99995
-1.55821,32.7448,1.22581e-19,-0,-0,-0.0713038,0.997455
-1.45893,32.7314,0.497922,-0,-0,-0.0588966,0.998264
-1.35938,32.7229,1.00192,-0,-0,-0.0214495,0.99977
-1.2594,32.7225,0.0776329,0,0,0.00842887,0.999964
-1.25197,32.7226,-3.13008e-19,-0,-0,-0.0523496,0.998629
-1.15236,32.7125,0.20009,-0,-0,-0.0473523,0.998878
-1.05267,32.7043,0.401675,-0,-0,-0.0323239,0.999477
-0.952832,32.7002,0.522005,-0,-0,-0.0074428,0.999972
-0.855664,32.7004,-8.56348e-19,-0,-0,-0.0402095,0.999191
-0.755994,32.6923,-0.0491705,-0,-0,-0.0414377,0.999141
-0.656361,32.6837,-0.032723,-0,-0,-0.044066,0.999029
-0.594461,32.6782,8.75726e-19,0,0,0.0155063,0.99988
-0.494397,32.6794,-1.1768,-0,-0,-0.0137963,0.999905
-0.394887,32.6706,-0.381121,-0,-0,-0.0655246,0.997851
-0.369287,32.6671,6.19162e-17,0,0,0.00781305,0.999969
-0.269271,32.6676,-0.685341,-0,-0,-0.00929472,0.999957
-0.169462,32.6623,-0.368211,-0,-0,-0.039904,0.999204
-0.0990769,32.656,1.69004e-18,-0,-0,-0.034968,0.999388
0.000683225,32.6491,0.036687,-0,-0,-0.0340514,0.99942
0.100467,32.6425,0.047233,-0,-0,-0.0315462,0.999502
0.200279,32.6364,0.0141993,-0,-0,-0.0300111,0.99955
0.243189,32.6338,8.49172e-19,-0,-0,-0.0355833,0.999367
0.342932,32.6267,-0.0295289,-0,-0,-0.036321,0.99934
0.442654,32.6192,-0.030755,-0,-0,-0.0382055,0.99927
